Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-12-01 00:00:00+09:00,167779.20198095823,186268.78125,165399.3551443489,186268.78125,8808029,0.0,0.0
2024-01-01 00:00:00+09:00,186268.7571059224,186268.7571059224,164575.54067638746,178122.359375,10684615,0.0,0.0
2024-02-01 00:00:00+09:00,177481.63360778443,238899.98128742515,177115.50336826345,229289.0625,47239276,8400.0,0.0
2024-03-01 00:00:00+09:00,242403.1748591738,246672.50670600857,220107.77521459226,221056.515625,22909204,2000.0,0.0
2024-04-01 00:00:00+09:00,224318.28560756973,243449.90911354581,205186.66210159363,240101.875,24057765,0.0,0.0
2024-05-01 00:00:00+09:00,238188.7374011858,265451.3037302372,224796.59955533597,242015.0625,17872464,0.0,0.0
2024-06-01 00:00:00+09:00,246319.671875,286496.08437500003,245363.090625,282191.46875,18953064,2000.0,0.0
2024-07-01 00:00:00+09:00,281264.8406124498,285117.7836345382,223470.6952811245,239845.703125,19962504,0.0,0.0
2024-08-01 00:00:00+09:00,241772.17349559686,257183.94551125244,208540.54008683952,246106.734375,16599307,0.0,0.0
2024-09-01 00:00:00+09:00,246588.34426229508,249478.05142161887,213356.71193007173,235029.515625,12978517,2000.0,0.0
2024-10-01 00:00:00+09:00,230548.79269622092,248021.96435319766,208707.328125,208707.328125,14045110,0.0,0.0
2024-11-01 00:00:00+09:00,206280.50003575516,219870.74474399316,191525.3772096682,212104.890625,16768217,0.0,0.0
2024-12-01 00:00:00+09:00,213075.61291273584,214046.34463443395,194146.34433962262,205795.125,11624207,0.0,0.0
2025-01-01 00:00:00+09:00,205795.12469660194,220356.1005006068,194146.34405339806,199970.734375,14102248,0.0,0.0
2025-02-01 00:00:00+09:00,195117.072376943,204824.38941062175,187351.21875,187351.21875,15975978,0.0,0.0
